"Purchase_Amount","Time_Spent_on_Website","Number_of_products_browsed","Pictures","Shipping_Time","Review_rating","Find_website","Ease_of_purchase","Age","Device"
569.23,738,18,1.7,1.75,3.4,"Social_Media_Advertisement",4,48,"PC"
570.6,879,23,2.2,2.95,3.4,"Search_Engine",4,32,"PC"
682.11,1190,27,4.3,4.51,3.9,"Social_Media_Advertisement",5,36,"Mobile"
519.44,421,10,1.5,3.51,3.9,"Search_Engine",4,47,"Mobile"
702.57,878,22,2.4,2.68,4.8,NA,NA,41,"PC"
432.9,235,6,2.1,2.3,3.3,"Friends_or_Family",4,54,"Mobile"
671.32,997,22,4.9,2.74,4.3,"Social_Media_Advertisement",3,42,"PC"
551.4,675,17,4.3,4.84,2.8,"Search_Engine",3,44,"PC"
565.48,974,22,3.5,3.39,3.9,"Search_Engine",3,57,"PC"
566.67,859,20,1.7,1.95,3.8,"Search_Engine",NA,43,"PC"
589.63,724,17,1.9,3.61,4.5,"Search_Engine",NA,39,"Mobile"
477.56,995,25,4.2,3.47,4.9,"Search_Engine",NA,65,"PC"
537.32,727,15,3.5,2.38,3.2,"Social_Media_Advertisement",5,54,"Mobile"
607.92,812,19,4.3,2.25,3.5,"Social_Media_Advertisement",4,53,"PC"
651.6,977,21,3.3,1.95,3.9,"Search_Engine",3,35,"PC"
738.9,1474,34,2.2,4.21,3.5,"Social_Media_Advertisement",4,47,"PC"
769.86,1275,28,2.8,1.6,4.2,"Search_Engine",4,48,"Mobile"
616.04,995,22,2.1,3.05,4.8,"Social_Media_Advertisement",4,54,"Mobile"
490.32,180,4,4.1,3.42,4.1,"Search_Engine",4,53,"PC"
609.94,948,23,3.4,3.04,3.6,"Search_Engine",4,52,"PC"
650.31,909,21,3.1,3.8,3.4,"Social_Media_Advertisement",3,42,"Mobile"
559.11,887,22,3.6,1.99,4,"Search_Engine",4,49,"PC"
578.08,595,15,2.8,4.91,4.3,"Friends_or_Family",4,41,"PC"
756.04,1398,30,2,2.86,4.5,"Social_Media_Advertisement",NA,39,"PC"
577.68,892,21,3.8,2.21,4.3,"Search_Engine",4,32,"PC"
659.98,974,24,6.4,2.25,3.5,"Social_Media_Advertisement",4,39,"PC"
731.46,-999,-999,3.1,4.11,4.9,"Social_Media_Advertisement",5,36,"PC"
685.22,860,20,2,4.3,4.8,"Search_Engine",4,49,"PC"
725.34,1259,28,3.7,3.19,4.4,"Search_Engine",NA,39,"PC"
712.01,1023,23,3.6,3.53,4.6,"Friends_or_Family",4,48,"Mobile"
606.23,772,18,2.1,2.66,4.1,"Friends_or_Family",4,50,"PC"
496.58,873,18,3.6,4.03,4.7,"Search_Engine",NA,26,"PC"
550,791,22,2.2,4.69,4.6,NA,3,27,"PC"
305.35,180,2,2.6,4.52,3.7,"Social_Media_Advertisement",4,63,"PC"
547.04,635,16,2.4,3.02,3.1,"Search_Engine",4,47,"PC"
619.32,923,22,1.9,5.3,3.8,"Search_Engine",5,36,"PC"
494.56,668,18,3.1,2.63,3.8,"Social_Media_Advertisement",5,50,"PC"
739.18,927,23,3.1,3.67,4.3,"Search_Engine",NA,41,"PC"
689.38,979,23,3.5,2.24,4.9,"Search_Engine",5,39,"PC"
508.2,628,15,4.1,1.75,4.3,"Search_Engine",4,50,"PC"
601.96,802,18,2.6,2.34,3.8,"Friends_or_Family",3,37,"PC"
518.69,462,11,2.8,1.45,3.9,"Search_Engine",3,57,"PC"
626.6,834,20,3.5,1.43,3.7,NA,4,36,"PC"
546.86,773,19,3.9,2.94,4,"Social_Media_Advertisement",5,31,"PC"
526.53,585,15,1.1,3.22,3.9,"Social_Media_Advertisement",4,48,"Mobile"
617.84,738,16,1.6,1.99,3.8,"Search_Engine",NA,40,"Mobile"
468.6,287,6,1.2,3.92,3.9,"Search_Engine",4,42,"Mobile"
397.34,456,11,2.2,2.8,4.2,"Social_Media_Advertisement",3,23,"PC"
517.83,180,2,4.2,1.27,3.6,"Friends_or_Family",4,43,"PC"
642.31,1039,25,1.3,2.7,3.4,"Social_Media_Advertisement",4,38,"Mobile"
594.15,913,21,2.8,3.41,4.8,"Search_Engine",4,29,"PC"
559.26,674,15,3.2,1.98,4,NA,4,40,"PC"
593.92,787,19,2.3,2.28,4.4,"Search_Engine",4,47,"Mobile"
629.93,1015,23,4.2,4.19,3.9,"Social_Media_Advertisement",4,50,"Mobile"
523.3,563,13,1.8,1.97,4,"Search_Engine",4,48,"PC"
590.05,615,12,1.9,1.8,3.7,"Social_Media_Advertisement",4,40,"PC"
542.82,843,22,4,3.08,3.8,"Search_Engine",4,59,"PC"
510,684,16,3.7,1.69,3.5,"Social_Media_Advertisement",4,44,"PC"
624.16,894,19,4.1,2.52,3.2,"Social_Media_Advertisement",4,39,"PC"
537.78,722,18,2.9,3.25,3.8,"Social_Media_Advertisement",NA,59,"Mobile"
720.23,1377,33,3.5,2.93,4.2,"Search_Engine",4,45,"Mobile"
579.04,483,14,1.8,2.69,4.2,"Social_Media_Advertisement",5,46,"Mobile"
554.64,605,14,3.2,1.79,4.2,"Social_Media_Advertisement",4,37,"PC"
591.24,-999,-999,2.3,2.1,3.1,"Friends_or_Family",4,26,"PC"
530.47,584,16,2.8,3.98,4.2,"Search_Engine",5,42,"Mobile"
387.74,347,9,5,4.13,3.9,"Search_Engine",NA,55,"Mobile"
589.48,1096,27,2.2,4.24,3.3,"Social_Media_Advertisement",4,59,"PC"
597.7,738,19,1.8,2.26,4.3,"Search_Engine",3,41,"Mobile"
741.06,1375,33,3.2,3.93,3.9,"Search_Engine",4,52,"PC"
627.62,1437,33,1.7,1.77,4.1,"Social_Media_Advertisement",3,56,"PC"
498.85,353,8,3.5,3.35,4.3,"Social_Media_Advertisement",5,37,"Mobile"
540.52,806,17,2.2,2.55,3.2,"Search_Engine",3,41,"Mobile"
716.82,1095,25,2,1.31,4.7,NA,4,45,"PC"
611.69,685,16,3.7,1.36,4.9,NA,4,41,"PC"
564.1,890,18,3.5,3.41,4.6,"Social_Media_Advertisement",4,38,"PC"
616.25,1035,25,3,4.66,3.8,"Search_Engine",4,40,"Mobile"
363.44,737,16,3,2.46,4,"Search_Engine",4,66,"PC"
663.8,1133,28,2.8,3.92,3.8,"Social_Media_Advertisement",3,35,"PC"
596.76,967,21,3.8,3.31,2.8,"Social_Media_Advertisement",4,33,"Mobile"
725.74,1158,26,3.8,1.58,4.1,"Search_Engine",3,55,"Mobile"
584.27,559,13,2.4,3.05,4.4,"Other",NA,46,"PC"
689.78,1149,26,4.2,2.95,3.9,"Search_Engine",4,40,"PC"
507.94,512,13,2.8,2.95,3.4,"Social_Media_Advertisement",4,54,"PC"
600.1,757,22,2.5,3.47,3.5,"Search_Engine",3,41,"PC"
607.7,1466,31,2.5,3.28,2.8,"Social_Media_Advertisement",4,60,"PC"
452.02,535,12,4.4,3.95,3.3,"Search_Engine",3,41,"PC"
724.96,1356,30,2.4,1.58,4.8,"Search_Engine",NA,40,"Mobile"
618.56,788,20,2.7,2.42,4.8,"Search_Engine",4,31,"PC"
727.38,1180,27,1.7,2.62,4.3,"Social_Media_Advertisement",NA,44,"PC"
674.5,925,22,4.2,4.15,4.4,"Search_Engine",4,37,"PC"
599.24,980,24,1.4,2.64,4,"Friends_or_Family",4,32,"Mobile"
771.86,1317,33,4.1,2.1,4.2,"Search_Engine",4,44,"PC"
601.99,969,24,2.4,3.31,4.2,"Other",5,55,"PC"
678.6,1195,27,3.1,4.12,5,"Search_Engine",4,55,"PC"
480.68,358,10,2.6,3.39,3.4,"Friends_or_Family",5,51,"PC"
665.24,854,19,1.5,2.36,4.4,"Search_Engine",5,35,"PC"
564.36,652,15,3.1,1.65,3.3,"Search_Engine",4,47,"Mobile"
650.88,1161,27,2.9,2.98,3.9,"Social_Media_Advertisement",4,42,"PC"
524.25,767,18,3.9,4.77,4.3,"Other",4,58,"Mobile"
443.87,580,16,3.3,2.16,3.8,"Search_Engine",4,58,"Mobile"
666.14,910,22,4.9,1.95,3.5,"Search_Engine",3,39,"Mobile"
148.16,585,13,3,2.06,4.3,"Social_Media_Advertisement",4,76,"Mobile"
568.8,579,14,3.3,1.6,4.1,"Friends_or_Family",4,47,"PC"
446.18,363,10,3.8,3.73,4,"Social_Media_Advertisement",4,29,"PC"
479.24,750,18,1.3,3.74,4.4,"Social_Media_Advertisement",5,64,"Mobile"
732.16,1179,27,4.7,3.17,4.4,"Social_Media_Advertisement",5,38,"PC"
579.4,779,16,3.7,4.43,3.7,NA,4,43,"PC"
737.93,1245,29,2.6,3.26,4.3,"Search_Engine",4,44,"PC"
549.32,922,21,4.1,4.11,3.3,"Search_Engine",4,32,"PC"
620.48,820,22,1.9,3.06,3.5,"Search_Engine",4,49,"PC"
542.94,491,12,1.9,1.5,4.5,NA,5,31,"PC"
490.7,321,6,4,1.85,3.9,"Search_Engine",4,43,"PC"
738.14,1101,26,3.8,4.37,4.8,"Social_Media_Advertisement",5,33,"PC"
375.21,515,14,4.2,2.18,3.8,NA,4,65,"PC"
743.19,1236,31,4.1,2.96,4.6,"Social_Media_Advertisement",3,38,"Mobile"
638,820,19,2.2,3.12,3.2,"Social_Media_Advertisement",3,49,"PC"
758.02,1166,29,1.7,2.08,4,"Search_Engine",NA,48,"PC"
525.35,689,17,3.2,4.22,4.1,"Search_Engine",5,50,"Mobile"
516.22,517,11,2.5,2.27,2.9,"Search_Engine",4,34,"PC"
725.52,1345,32,4.6,5.02,4.9,"Search_Engine",4,40,"PC"
626.92,1100,26,2.6,2.18,4,"Search_Engine",4,58,"PC"
566.79,942,20,3.5,3.17,3.5,"Search_Engine",4,36,"PC"
553.54,654,15,1.8,2.01,3.8,"Search_Engine",NA,42,"PC"
591.12,975,23,2.5,2.19,3.5,"Search_Engine",4,55,"PC"
512.9,785,17,3.7,2.14,3,"Search_Engine",4,51,"Mobile"
630.96,1136,28,3.5,2.57,2.8,"Social_Media_Advertisement",4,43,"PC"
556.16,759,19,3.9,4.07,3.8,"Social_Media_Advertisement",4,31,"PC"
517.82,815,21,3.7,3.74,3.5,"Search_Engine",5,57,"PC"
608.32,787,19,3,2.84,3.5,"Social_Media_Advertisement",3,40,"Mobile"
637.98,1075,24,1.7,3.97,3.6,"Search_Engine",4,46,"PC"
507.1,603,14,2.5,2.15,4.2,"Social_Media_Advertisement",3,43,"PC"
607,869,19,1.8,1.03,3.9,"Social_Media_Advertisement",NA,42,"Mobile"
792.82,1180,26,3.3,4.41,4.4,"Search_Engine",4,43,"PC"
803.92,1639,37,3.2,1.36,4.4,"Search_Engine",4,55,"Mobile"
569.2,760,17,2.6,3.03,3.5,"Search_Engine",4,49,"Mobile"
589.14,608,13,2.6,3.23,4.3,"Search_Engine",4,40,"PC"
760.75,1310,31,1.1,3.32,3.8,"Social_Media_Advertisement",4,46,"PC"
513.6,679,15,2.1,1.87,3.3,"Search_Engine",4,34,"PC"
639.21,805,18,2.2,2.76,4.4,"Social_Media_Advertisement",4,37,"PC"
620.35,866,20,1.9,3.01,3.8,"Search_Engine",4,37,"PC"
556.32,840,22,3.4,3.41,3.8,"Search_Engine",5,45,"Mobile"
599.7,779,18,1.6,3.11,4.1,"Social_Media_Advertisement",4,45,"PC"
684.54,913,21,2.9,2.86,4.2,"Social_Media_Advertisement",4,35,"PC"
496.62,580,15,2.8,2.2,3.5,"Search_Engine",NA,39,"Mobile"
514.59,715,19,3.9,4.1,4,NA,4,36,"PC"
712.94,1217,26,4.4,3.82,4.3,NA,NA,43,"PC"
663.88,860,23,2.8,2.1,4.2,"Social_Media_Advertisement",4,43,"Mobile"
283.94,377,13,2.2,2.68,3.5,"Search_Engine",4,67,"PC"
487,-999,-999,2.3,2.64,4,"Search_Engine",3,35,"PC"
550.42,503,13,2.7,1.1,3.9,"Social_Media_Advertisement",4,57,"PC"
647.9,884,21,2.1,4.1,4,"Search_Engine",NA,44,"PC"
560.08,1110,27,3.4,3.26,3.2,"Search_Engine",NA,28,"PC"
568.6,958,19,2.1,3.54,3.5,"Search_Engine",3,61,"Mobile"
315.36,879,21,4,3.15,3.5,"Search_Engine",4,71,"PC"
523.7,655,15,3,1.76,3.8,"Friends_or_Family",NA,49,"Mobile"
588.42,724,17,2.8,2.38,4.1,"Social_Media_Advertisement",4,32,"PC"
544.4,584,14,3.8,2.72,3.6,"Search_Engine",4,51,"PC"
752.92,1659,36,2.3,2.68,3.6,"Search_Engine",3,39,"PC"
544.14,544,12,3.6,2.88,2.9,"Social_Media_Advertisement",4,41,"PC"
629.81,987,24,1.9,3.66,3.8,"Search_Engine",5,48,"PC"
616.46,780,21,2,3.91,3.6,"Search_Engine",4,45,"Mobile"
598.3,918,21,3.4,3.11,4,"Search_Engine",4,33,"PC"
502.43,593,13,2.6,4.1,3.4,"Social_Media_Advertisement",3,53,"Mobile"
475.93,424,13,2,2.85,4.5,"Social_Media_Advertisement",5,29,"Mobile"
604.66,932,21,4.9,3.89,4,"Search_Engine",4,30,"PC"
604.56,491,11,2.6,2.29,4.9,"Search_Engine",4,52,"PC"
727.81,1201,28,4.5,3.73,4.2,"Social_Media_Advertisement",NA,39,"PC"
456.82,635,17,3.6,1.39,3.9,"Search_Engine",4,28,"Mobile"
699.74,1005,24,4.5,2.66,3.8,NA,NA,44,"Mobile"
525.78,643,16,1.5,4.83,4.4,"Search_Engine",4,36,"PC"
485.72,859,18,3.3,4.95,4,"Social_Media_Advertisement",4,62,"PC"
617.38,978,23,2.6,2.26,4.7,"Social_Media_Advertisement",4,56,"PC"
572.62,722,17,3.7,5.05,4.1,"Search_Engine",3,34,"PC"
613.88,1005,25,4.5,4.86,4.6,"Social_Media_Advertisement",4,52,"PC"
609.36,755,17,3.4,1.1,4.4,"Social_Media_Advertisement",3,53,"PC"
415.03,860,19,1.5,2.31,4.8,NA,4,69,"Mobile"
675.34,1225,29,2.7,2.95,4,"Social_Media_Advertisement",3,49,"Mobile"
530.02,610,12,2.4,3.36,4.3,"Search_Engine",4,49,"PC"
550.62,871,19,2.2,2.43,3.6,"Social_Media_Advertisement",4,52,"PC"
635.53,932,24,2,3.91,4,"Friends_or_Family",3,54,"PC"
499.02,774,18,3.2,4.23,3.8,"Social_Media_Advertisement",4,55,"PC"
624.33,988,24,3.5,2.11,4.5,"Search_Engine",5,52,"PC"
562.51,636,17,2,4.33,3.5,"Social_Media_Advertisement",5,36,"Mobile"
699.5,1027,25,1.9,2.56,3.9,"Social_Media_Advertisement",5,41,"PC"
853.96,1615,38,1.9,3.19,4,"Search_Engine",5,44,"PC"
618.48,717,17,2.8,4.22,4.3,"Search_Engine",5,56,"Mobile"
603.71,877,20,3.3,4.32,3.8,"Search_Engine",4,38,"PC"
638.1,1112,23,4.7,3.21,4.7,"Search_Engine",4,33,"PC"
654.87,886,19,2.9,3.96,3.9,"Search_Engine",4,43,"PC"
669.37,1245,29,3.6,2.24,3.4,"Search_Engine",4,51,"Mobile"
569.12,875,21,2.4,2.13,4.4,"Search_Engine",4,54,"Mobile"
524.58,-999,-999,2.4,3.43,3.6,"Social_Media_Advertisement",3,42,"PC"
691.18,1034,24,3.4,3.88,4.9,"Search_Engine",5,41,"Mobile"
674.95,1046,25,4,2.48,4.5,"Search_Engine",4,39,"PC"
539.86,1017,22,3.7,3.6,3.9,"Search_Engine",4,64,"PC"
528.71,707,19,1.3,3.13,4.6,"Social_Media_Advertisement",NA,61,"PC"
532.7,757,17,1.8,1.31,4,"Search_Engine",4,43,"PC"
763.84,1448,31,4,2.74,3.5,"Social_Media_Advertisement",4,35,"PC"
612.78,843,23,2.8,2.13,3.1,"Search_Engine",4,44,"PC"
668.2,1415,31,2.7,4.75,4.1,"Search_Engine",5,66,"PC"
558.05,721,16,3.4,4.27,3.8,"Search_Engine",3,45,"PC"
784.32,1229,27,4.1,3.62,3.5,"Friends_or_Family",5,37,"PC"
489.66,885,18,3,3.16,4.4,"Search_Engine",NA,64,"Mobile"
462.58,708,21,1.2,3.22,4.9,"Friends_or_Family",4,63,"PC"
573.48,822,17,3.5,1.66,3.6,"Social_Media_Advertisement",4,38,"Mobile"
559.22,652,16,2.9,2.7,4.3,"Search_Engine",4,32,"PC"
597.6,916,24,1,3.76,4.3,"Friends_or_Family",5,33,"PC"
600.3,744,18,3.9,2.74,3.6,NA,4,39,"PC"
519.9,297,9,2,3.53,3.9,"Other",4,36,"Mobile"
704.04,1390,28,2.5,2.66,3.7,"Search_Engine",3,50,"PC"
712.5,1185,28,4.8,4.15,3.7,"Search_Engine",4,48,"Mobile"
620.43,726,17,4.8,2.52,3.8,"Friends_or_Family",4,39,"PC"
632.98,925,19,3,2.93,4.1,"Search_Engine",4,48,"PC"
542.02,589,14,4.4,4.09,3.1,"Friends_or_Family",4,43,"Mobile"
604,1027,23,1.8,4.09,3.9,"Social_Media_Advertisement",4,57,"Mobile"
687.99,1206,28,2,2.2,4.1,"Friends_or_Family",4,54,"Mobile"
772.16,1199,28,5.2,2.28,4.6,"Social_Media_Advertisement",4,42,"PC"
665.36,1041,23,3.4,3.9,3.8,NA,4,47,"Mobile"
722.6,1173,26,2.9,2.16,4.5,"Search_Engine",4,45,"PC"
354.64,414,12,2.7,3.96,3.7,"Search_Engine",3,30,"PC"
794,1483,33,3,4.74,4.1,"Social_Media_Advertisement",4,48,"PC"
594.02,800,18,3.1,3.14,4.2,"Social_Media_Advertisement",5,54,"Mobile"
604.3,759,17,2.5,4.86,3.4,"Social_Media_Advertisement",4,50,"PC"
667.3,913,21,2.7,2.95,4.7,"Search_Engine",4,44,"PC"
730.9,1065,27,3.7,1.96,4.1,"Friends_or_Family",4,46,"PC"
582.42,918,25,2.2,3.98,4.9,"Search_Engine",5,58,"PC"
362.47,649,13,4,1.39,3.9,"Social_Media_Advertisement",4,20,"Mobile"
566.09,619,15,2.9,4.12,4,"Search_Engine",5,50,"PC"
655.98,1148,28,2.9,2.86,4.7,"Search_Engine",3,55,"PC"
542.18,722,20,2.6,3.77,4.4,"Social_Media_Advertisement",4,56,"PC"
584.9,847,20,2,3.22,3.9,"Search_Engine",4,44,"Mobile"
533.28,572,14,2.7,2.92,3.3,"Search_Engine",4,56,"PC"
636.74,871,22,4.6,3.85,3.8,"Search_Engine",4,45,"PC"
573.84,770,17,1.7,4.65,4.2,"Social_Media_Advertisement",4,35,"Mobile"
472.36,603,18,3.6,4.71,3.7,"Social_Media_Advertisement",3,35,"PC"
534.2,-999,-999,2.9,5.26,2.3,"Search_Engine",4,45,"PC"
788.18,1466,33,2.9,3.33,4.1,"Search_Engine",4,38,"PC"
599.53,800,18,2.7,1.92,4.2,"Social_Media_Advertisement",4,36,"Mobile"
650.93,795,18,5.3,2.16,4.4,"Search_Engine",5,41,"Mobile"
469.41,401,10,2.9,3.65,4.5,"Social_Media_Advertisement",5,51,"PC"
550.12,531,11,3.6,2.22,3.9,"Search_Engine",3,47,"PC"
664.78,1001,25,1.3,5.37,4.3,"Search_Engine",4,52,"PC"
593.32,1033,24,2.9,4.07,3.8,"Search_Engine",NA,33,"Mobile"
527.41,588,14,3.9,3.34,3.8,"Search_Engine",4,47,"PC"
566.45,521,14,2.3,2.21,4.2,"Search_Engine",5,37,"PC"
503.48,628,14,2.4,2.61,3.7,"Search_Engine",5,46,"PC"
788.12,1406,32,2,2.58,3.7,"Social_Media_Advertisement",5,50,"PC"
387.68,405,12,1.6,3.37,3.3,"Search_Engine",5,61,"PC"
584.11,1081,25,4.5,2.76,4.6,"Search_Engine",4,58,"PC"
608.86,456,10,3.4,3.72,3.7,"Social_Media_Advertisement",4,43,"PC"
701.39,1452,32,2.3,3.59,4.4,"Social_Media_Advertisement",NA,25,"PC"
601.2,814,19,2.6,3.63,3.6,NA,4,35,"PC"
601.7,645,13,4.2,3.89,3.8,"Search_Engine",4,47,"PC"
398.69,679,18,4.4,2.55,3.5,"Friends_or_Family",4,63,"Mobile"
758.68,1408,35,4.5,4.41,3.6,"Search_Engine",5,49,"PC"
564.79,829,24,2.5,2.09,4.1,"Search_Engine",3,56,"PC"
643.31,818,21,2.4,4.14,4.9,"Social_Media_Advertisement",5,46,"PC"
615.92,782,16,3.9,3.73,4.6,"Search_Engine",4,48,"Mobile"
756.16,1187,27,4,2.13,4.1,"Friends_or_Family",4,50,"PC"
759.93,1116,25,4.3,1.96,5,"Social_Media_Advertisement",4,46,"PC"
381.38,1017,23,2.4,2.24,3.9,"Other",4,71,"PC"
756,1368,31,3.1,3.1,3.3,"Social_Media_Advertisement",4,53,"PC"
730.76,1106,25,5.2,4.31,4.2,"Search_Engine",4,40,"PC"
527.96,750,20,4.1,3.81,4.8,NA,4,64,"PC"
704.16,1194,28,1.5,4.75,4.5,"Search_Engine",4,29,"Mobile"
536.08,451,7,3.1,1.36,3.9,"Social_Media_Advertisement",5,47,"PC"
676.8,1109,26,2.9,1.53,4.9,"Friends_or_Family",4,29,"PC"
504.34,645,15,1.5,4.58,3.6,"Social_Media_Advertisement",5,27,"PC"
564.3,718,18,2.8,2.15,3.7,NA,NA,41,"PC"
667.08,904,21,2.9,2.76,4.2,"Social_Media_Advertisement",4,51,"PC"
744.06,1314,30,2.2,2.65,3.8,"Search_Engine",4,48,"PC"
604.56,757,15,4.9,2.65,4.1,"Search_Engine",4,41,"PC"
540.08,374,10,3.6,1.35,4,"Search_Engine",NA,45,"PC"
720.78,1345,31,1.6,2.19,3.7,"Search_Engine",4,38,"PC"
813.8,1274,30,4.2,2.65,4.7,"Search_Engine",NA,41,"PC"
615.58,858,20,3.1,2.81,3.7,"Social_Media_Advertisement",3,53,"PC"
576.2,1016,25,2,4.36,3.9,"Search_Engine",5,29,"PC"
618.3,807,20,2.6,1.98,4.5,"Social_Media_Advertisement",4,39,"PC"
595.66,958,23,3.6,3.45,3.6,"Social_Media_Advertisement",4,39,"PC"
575.6,644,13,3.7,2.59,4.8,"Search_Engine",4,37,"PC"
471.82,437,10,1.7,2.81,4.2,"Search_Engine",NA,28,"PC"
427.88,190,5,3,3.58,4.9,"Search_Engine",5,59,"PC"
472.34,202,3,3.2,2.24,4.4,"Search_Engine",4,48,"PC"
643.54,877,20,3.7,1.25,4.3,"Search_Engine",4,46,"PC"
559.69,599,15,2.4,3.47,3.4,"Search_Engine",5,47,"Mobile"
529.16,1005,22,1.7,2.86,3.7,"Social_Media_Advertisement",3,25,"PC"
653.32,1030,22,1.4,2.75,4,"Social_Media_Advertisement",4,33,"PC"
550.04,653,16,3.6,2.1,4.5,"Search_Engine",NA,42,"Mobile"
726.54,1325,31,4.1,4.78,3.9,"Search_Engine",4,54,"Mobile"
803.9,1447,34,2.1,4.01,4.2,"Social_Media_Advertisement",4,35,"PC"
572.34,439,9,2.9,2.92,4.8,"Search_Engine",3,43,"PC"
628.54,814,23,3.1,2.41,4.8,"Social_Media_Advertisement",NA,33,"PC"
410.94,470,11,3.6,1.88,3.8,"Social_Media_Advertisement",4,26,"Mobile"
638.32,1038,23,2.7,2.67,3.6,"Social_Media_Advertisement",4,41,"Mobile"
610.69,916,22,2.8,2.74,2.9,"Social_Media_Advertisement",NA,39,"PC"
710.86,940,21,3.2,3.58,4.6,"Social_Media_Advertisement",4,45,"PC"
627.24,839,21,3,2.33,4.9,"Social_Media_Advertisement",NA,43,"PC"
696.19,1136,25,3.1,2.83,4.2,"Social_Media_Advertisement",5,42,"PC"
719.6,1240,29,3.7,2.92,3.7,"Search_Engine",5,56,"Mobile"
578.66,1085,25,5.1,1.7,3.3,"Friends_or_Family",4,59,"Mobile"
622.14,762,16,4.1,1.58,3.7,"Search_Engine",4,47,"PC"
736.74,1390,30,2.4,2.62,4.7,"Social_Media_Advertisement",4,58,"PC"
709.06,1302,30,3.5,4.01,3.5,"Social_Media_Advertisement",4,49,"PC"
520.88,427,9,4.8,3.55,4.1,"Search_Engine",3,46,"PC"
606.46,668,17,2.6,2.7,5,"Search_Engine",4,36,"PC"
764.29,1407,31,2.7,2.1,3.9,"Social_Media_Advertisement",4,54,"Mobile"
703.91,1117,28,3.2,2.46,3.4,"Search_Engine",3,45,"PC"
711.08,-999,-999,2.2,1.18,4.5,"Search_Engine",4,55,"Mobile"
563.64,882,22,3.7,2.42,3.8,"Social_Media_Advertisement",4,30,"PC"
584.2,782,20,2.9,2.14,3.5,NA,4,42,"PC"
448.88,553,14,3.3,3.69,3.3,"Friends_or_Family",4,58,"Mobile"
589.09,884,21,2.8,4.61,3.7,"Social_Media_Advertisement",4,45,"PC"
552.57,737,19,3.1,4.56,4,"Search_Engine",4,43,"Mobile"
609.42,793,17,3,3.55,4.5,NA,NA,53,"Mobile"
704.86,-999,-999,3.6,2.31,3.8,"Social_Media_Advertisement",4,42,"PC"
604.22,712,17,2,3.38,4.1,"Social_Media_Advertisement",5,56,"PC"
265.7,180,3,3.1,2.45,4.1,"Friends_or_Family",5,65,"PC"
497.62,567,13,3.2,2.78,4.3,"Social_Media_Advertisement",5,56,"PC"
412.27,517,10,3.8,2.98,3,"Social_Media_Advertisement",4,56,"PC"
573.87,636,14,2.5,2.53,3.8,"Social_Media_Advertisement",3,42,"Mobile"
618.35,719,16,2.9,4.5,4.5,"Search_Engine",4,47,"PC"
702.29,762,19,1.2,1.98,4.1,"Friends_or_Family",4,49,"PC"
565.21,748,17,2,3.91,3.8,"Search_Engine",NA,36,"PC"
701.96,913,24,3,3.32,4.7,"Search_Engine",4,37,"PC"
553.88,916,22,5.1,3.06,4,"Search_Engine",4,54,"PC"
764.16,1282,31,2.8,3.44,4.3,"Social_Media_Advertisement",4,51,"PC"
597.64,769,19,4,2.26,4.1,"Search_Engine",5,41,"PC"
639.41,707,15,1.6,1.08,4.7,"Search_Engine",5,38,"PC"
340.42,484,11,2.7,3.63,4.1,"Search_Engine",4,19,"PC"
640.48,884,21,3.9,3.51,4.9,"Search_Engine",3,52,"PC"
695.9,1428,31,1.9,3.46,4,"Search_Engine",4,39,"Mobile"
390.26,720,15,3.9,4.12,4.9,"Social_Media_Advertisement",3,69,"Mobile"
747.91,1361,32,4.3,4.25,5,"Search_Engine",4,51,"Mobile"
631.05,954,24,3.5,4.17,4.1,"Search_Engine",NA,40,"PC"
765.18,1602,35,2.4,2.72,3.8,"Social_Media_Advertisement",3,57,"Mobile"
482.93,372,10,2.9,3.17,4,"Search_Engine",4,53,"PC"
474.7,650,19,2.2,3.91,4,"Social_Media_Advertisement",3,30,"Mobile"
446.9,180,3,2.1,2.27,4.5,NA,4,52,"Mobile"
509.06,651,16,4.2,2.95,4.4,"Social_Media_Advertisement",NA,31,"PC"
547.89,622,14,4.3,1.45,4,NA,4,35,"PC"
546.14,535,12,2.6,2.54,3.9,"Search_Engine",4,31,"PC"
531.42,505,12,5.3,2.7,5,"Social_Media_Advertisement",3,38,"PC"
617.89,940,24,1.5,4.13,4.2,"Social_Media_Advertisement",5,50,"PC"
758.99,1518,34,3.5,2.48,4.4,"Friends_or_Family",5,53,"PC"
212.59,386,10,2.2,2.76,3.8,"Search_Engine",4,18,"Mobile"
586.02,1037,24,4.7,3.55,3.2,"Search_Engine",4,32,"PC"
419.38,461,12,4.1,1.03,3.7,"Friends_or_Family",5,63,"PC"
706.61,885,20,2.5,2.74,4.4,"Social_Media_Advertisement",5,48,"PC"
777.64,1368,32,3.6,1.16,5,"Social_Media_Advertisement",3,38,"PC"
474.71,1010,26,3.5,1.36,4.4,"Search_Engine",5,21,"PC"
650.45,688,16,3.6,2.03,4.6,"Search_Engine",5,53,"PC"
730.32,1337,31,2.5,3.27,3.6,"Search_Engine",NA,50,"Mobile"
571.3,859,21,3.5,1.36,3.3,"Social_Media_Advertisement",3,48,"PC"
230.01,180,6,2.3,4.49,4.5,"Search_Engine",4,68,"Mobile"
535.32,429,9,4,1.36,3.5,"Search_Engine",NA,46,"PC"
693.2,852,22,4.8,4.3,4.2,"Social_Media_Advertisement",4,44,"Mobile"
